sara,2,shjwav,ass,Banker,1,,
r,2,U7aRd935f5UXx/nkkwMBBdJY2CQtPsZ0IOIx2JxOYMs=,dsc,Customer,3,,
Sara,22,BDpxh3TFcr2KJa2+sb/NXAJWrhHOz5+cP5JdDlK+r4k=,slaks,Customer,0,,
rami,12,RUNJ5CLwUpcZHq0T4h09tSDlq+9SBV5JZLgvshP1k6E=,r,Customer,0,,IBN0
raji,121,RUNJ5CLwUpcZHq0T4h09tSDlq+9SBV5JZLgvshP1k6E=,r,Customer,0,IBN1,
samia,21,BDpxh3TFcr2KJa2+sb/NXAJWrhHOz5+cP5JdDlK+r4k=,s,Customer,0,,IBN2
go,21,zQqphWFHtsW0/yt9/uXaIKo4JTCZ7xtKZKztIzya/ik=,g,Customer,0,,IBN3
eman,2,P3m7e0NbBTIWUdrv03TNxoHcBvqmXjdOODN7iMoEbeo=,e,Customer,0,,
rani,23,RUNJ5CLwUpcZHq0T4h09tSDlq+9SBV5JZLgvshP1k6E=,r,Customer,0,,
sa,12,BDpxh3TFcr2KJa2+sb/NXAJWrhHOz5+cP5JdDlK+r4k=,s,Customer,0,,
re,2,RUNJ5CLwUpcZHq0T4h09tSDlq+9SBV5JZLgvshP1k6E=,r,Customer,0,,
d,12,GKw+c0PwFokMUQ6T+TUmEWnZ4/VlQ2Qpgw+vCTT0+OQ=,d,Customer,0,,
f,2,JS8QyDYQ68oaBZwLroJV66L5W+TR17z6idckioLZ8RE=,f,Customer,0,,
w,2,BDpxh3TFcr2KJa2+sb/NXAJWrhHOz5+cP5JdDlK+r4k=,s,Customer,0,,
yamin,23,RzEtMkT7t66Wbjdiet8ttkkDIb8E9bsVFCI14fmMsUY=,yamin123,Customer,0,IBN0,
sara2,2,T9HwHwf13TRXnDE+/knUpjOVUWNY0/GQyWKh93XUtEw=,d,Customer,0,IBN11,
last,2,NUfLESrESJryMQwGJs26bzCXoq1aO0Ld07WcdsegeaM=,last,Customer,0,IBN11,
q,2,jjXCzTv2ZBvbDiBQt2kyy7LmA0oN2swdm+qCprpX988=,q,Customer,0,,IBN11
y,4,ofzkNjhU/4iM/0uOeHXWAMJoI5BBKoz3mzfQsRFIsPo=,y,Customer,0,,IBN11
p,4,FI3pxaekTRnlbNmuGlVL9nhHr7DFj24S+imsfd/KmUA=,p,Customer,0,IBN11,
Sara6,2,BDpxh3TFcr2KJa2+sb/NXAJWrhHOz5+cP5JdDlK+r4k=,s,Customer,0,IBN15,
